data,label,new_label
"{'id': 'N84XF2', 'data': 'How r u', 'message_order': 4, 'comments': ['']}",location,3
"{'id': 'HTRWUM', 'data': 'Hi..', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'QS76OO', 'data': 'K', 'message_order': 0, 'comments': ['']}",whoAreYou,2
"{'id': 'OW1O0D', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",greeting,3
"{'id': 'HKNA96', 'data': 'Hiio', 'message_order': 1, 'comments': ['']}",notInterested,3
"{'id': '8CWG23', 'data': 'Hello', 'message_order': 4, 'comments': ['']}",notInterested,3
"{'id': '5ENIE2', 'data': 'Ok thanks 🙏🏻', 'message_order': 2, 'comments': ['']}",whoAreYou,2
"{'id': 'WE94Y2', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",whoAreYou,2
"{'id': '986LDG', 'data': 'Learning licence hai', 'message_order': 1, 'comments': ['']}",notInterested,6
"{'id': 'S4914B', 'data': 'Okkk', 'message_order': 3, 'comments': ['']}",whoAreYou,2
"{'id': 'UUNNK7', 'data': 'Bhaiii', 'message_order': 1, 'comments': ['']}",greeting,3
"{'id': '8H0AIC', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",whoAreYou,2
"{'id': 'S5XV4G', 'data': 'Hey', 'message_order': 3, 'comments': ['']}",greeting,3
"{'id': 'J13L6Z', 'data': 'Msg kyu karte hai', 'message_order': 2, 'comments': ['']}",notInterested,5
"{'id': '0FJ0SD', 'data': 'Hi sir', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'PL4IXA', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou,2
"{'id': 'L2MVZC', 'data': 'Hi ..', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'N63LPE', 'data': 'How are u', 'message_order': 1, 'comments': ['']}",notInterested,3
"{'id': 'Q29W1E', 'data': 'Hi sir', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'B6XAGF', 'data': 'I have learning licence', 'message_order': 5, 'comments': ['']}",whoAreYou,6
"{'id': '64HXXB', 'data': 'Hii', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': 'SG3868', 'data': 'Hii', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': '3O1NCP', 'data': 'Hii', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'GE2L4N', 'data': '📷 G😊😊D Morning', 'message_order': 3, 'comments': ['']}",location,3
"{'id': 'OBMETO', 'data': 'okay', 'message_order': 4, 'comments': ['']}",greeting,2
"{'id': 'Y2G2AI', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",notInterested,2
"{'id': '714KZV', 'data': 'k', 'message_order': 2, 'comments': ['']}",greeting,2
"{'id': 'WLAG4Y', 'data': ""Don't msg"", 'message_order': 3, 'comments': ['']}",whoAreYou,5
"{'id': 'W1IP7Z', 'data': 'I have learning license', 'message_order': 4, 'comments': ['']}",notInterested,6
"{'id': 'LK3Z2Z', 'data': 'Lerner license only', 'message_order': 3, 'comments': ['']}",whoAreYou,6
"{'id': '9QA9O7', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",greeting,2
"{'id': 'Y9BH9F', 'data': 'OK bye dear t c good night', 'message_order': 3, 'comments': ['']}",notInterested,3
"{'id': 'XWBY4G', 'data': 'Thanks', 'message_order': 2, 'comments': ['']}",notInterested,3
"{'id': 'NJRYHH', 'data': 'Which location', 'message_order': 2, 'comments': ['']}",greeting,1
"{'id': '4UPRAA', 'data': 'ohhhh sry', 'message_order': 5, 'comments': ['']}",whoAreYou,4
"{'id': 'MCR8C2', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou,2
"{'id': 'I4QYET', 'data': 'Kidar hai job', 'message_order': 3, 'comments': ['']}",whoAreYou,1
"{'id': 'PTTKK3', 'data': 'Hallo', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': 'P50QW5', 'data': 'Area', 'message_order': 0, 'comments': ['']}",greeting,1
"{'id': '1TEYY2', 'data': 'I have LR licence', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,6
"{'id': 'CBHTCZ', 'data': 'Hello Sir / Madam, sorry but I don’t have bike 🏍', 'message_order': 4, 'comments': ['']}",notInterested,3
"{'id': 'U237AR', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",location,3
"{'id': 'YQL2EV', 'data': 'No', 'message_order': 0, 'comments': ['']}",dontMeetRequirements,4
"{'id': 'UXO1AZ', 'data': 'No one', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,4
"{'id': 'L9XNMY', 'data': 'Good morning', 'message_order': 1, 'comments': ['']}",greeting,3
"{'id': 'AIL1VG', 'data': 'Hy', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'YITJGF', 'data': 'Hai good morning', 'message_order': 0, 'comments': ['']}",greeting,3
"{'id': 'TNL84A', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",notInterested,2
"{'id': 'QNPBDD', 'data': ""Hai I'm kishor"", 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': 'AX28KL', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",location,3
"{'id': 'K7VCBE', 'data': 'I applied', 'message_order': 3, 'comments': ['']}",location,3
"{'id': 'Y25I5H', 'data': 'Y', 'message_order': 0, 'comments': ['']}",whoAreYou,6
"{'id': 'ID97YE', 'data': 'No', 'message_order': 3, 'comments': ['']}",location,4
"{'id': 'Q6UIBB', 'data': 'Kkk', 'message_order': 0, 'comments': ['']}",greeting,2
"{'id': 'IAN3EE', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",notInterested,2
"{'id': 'VHXZKV', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': '6N1P2O', 'data': 'Where should I come', 'message_order': 5, 'comments': ['']}",notInterested,1
"{'id': 'IP0Y59', 'data': 'Ledu', 'message_order': 3, 'comments': ['']}",greeting,4
"{'id': '3ZL96N', 'data': 'I am interested in that job but no bike', 'message_order': 2, 'comments': ['']}",whoAreYou,4
"{'id': 'H378HD', 'data': 'Not interested', 'message_order': 2, 'comments': ['']}",notInterested,5
"{'id': 'F92ZYT', 'data': 'Already I have given dis answer before 3days back', 'message_order': 1, 'comments': ['']}",greeting,5
"{'id': 'X4YOO7', 'data': 'How r u', 'message_order': 0, 'comments': ['']}",greeting,3
"{'id': 'BLZNAI', 'data': 'Hello', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'EO89PT', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'CJC8R7', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",greeting,2
"{'id': 'NCAOB5', 'data': 'Hiii', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'AOXR9G', 'data': 'Haa hai', 'message_order': 5, 'comments': ['']}",notInterested,6
"{'id': '3EQWRT', 'data': 'K', 'message_order': 1, 'comments': ['']}",whoAreYou,2
"{'id': 'GBWW49', 'data': 'inserted no', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,5
"{'id': 'Q3CNYP', 'data': 'Helo', 'message_order': 0, 'comments': ['']}",notInterested,3
"{'id': '0F6INN', 'data': 'Hai', 'message_order': 2, 'comments': ['']}",notInterested,3
"{'id': 'LGS2C2', 'data': 'Two wheeler aahe', 'message_order': 2, 'comments': ['']}",whoAreYou,6
"{'id': 'FC5ADO', 'data': 'Hello', 'message_order': 2, 'comments': ['']}",whoAreYou,3
"{'id': 'GDHCBH', 'data': 'Hi', 'message_order': 3, 'comments': ['']}",location,3
"{'id': 'S1MT2F', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",greeting,3
"{'id': 'SP2TPW', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",whoAreYou,2
"{'id': 'YYGGLH', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'MB7OTA', 'data': 'hi', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': '5KFO2B', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",dontMeetRequirements,2
"{'id': '6NKGQQ', 'data': 'Hiii', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'K3JSO1', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'D5BG34', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'QJGOQM', 'data': 'Kkkkk', 'message_order': 0, 'comments': ['']}",whoAreYou,2
"{'id': 'THBPPW', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",notInterested,3
"{'id': '5S2ARJ', 'data': 'Location', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,1
"{'id': 'UNKG6S', 'data': 'K', 'message_order': 4, 'comments': ['']}",notInterested,2
"{'id': 'SAP5X2', 'data': 'Good Morning', 'message_order': 4, 'comments': ['']}",greeting,3
"{'id': 'SZ9R07', 'data': 'Driving licence process', 'message_order': 2, 'comments': ['']}",whoAreYou,4
"{'id': '5AC95I', 'data': 'Hii', 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': 'HZRPEH', 'data': 'Location kya hai sir', 'message_order': 0, 'comments': ['']}",whoAreYou,1
"{'id': 'KFVKKX', 'data': 'Haii', 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': 'ZQDUW3', 'data': 'hii', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'PAYXKO', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",dontMeetRequirements,2
"{'id': 'YIAGGH', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",greeting,2
"{'id': 'SDU5B6', 'data': 'Ll', 'message_order': 2, 'comments': ['']}",whoAreYou,6
"{'id': '3OKT4Y', 'data': 'No', 'message_order': 2, 'comments': ['']}",greeting,4
"{'id': '1C33WL', 'data': 'Sorry', 'message_order': 5, 'comments': ['']}",whoAreYou,2
"{'id': 'VS4VEQ', 'data': 'Swiggy nai karna he merko', 'message_order': 2, 'comments': ['']}",notInterested,5
"{'id': 'VHZG00', 'data': 'Hii', 'message_order': 1, 'comments': ['']}",location,3
"{'id': '3JZ5TP', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting,2
"{'id': 'CRJVZ6', 'data': 'G sir', 'message_order': 5, 'comments': ['']}",greeting,2
"{'id': 'Z84STB', 'data': 'Kuthe aahe vacancey', 'message_order': 3, 'comments': ['']}",greeting,1
"{'id': '7IZQWA', 'data': ""Sry sir now I'm not interested on job"", 'message_order': 2, 'comments': ['']}",notInterested,5
"{'id': '2RXHW0', 'data': 'No', 'message_order': 1, 'comments': ['']}",greeting,4
"{'id': 'JOJLVL', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",whoAreYou,2
"{'id': 'F11U3U', 'data': 'Okok', 'message_order': 5, 'comments': ['']}",whoAreYou,2
"{'id': 'D0BZWO', 'data': 'No', 'message_order': 3, 'comments': ['']}",whoAreYou,4
"{'id': 'M3VRPS', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",notInterested,3
"{'id': '00KNY3', 'data': 'I have LLR', 'message_order': 3, 'comments': ['']}",notInterested,6
"{'id': 'V6D17O', 'data': 'In which area', 'message_order': 0, 'comments': ['']}",dontMeetRequirements,1
"{'id': '9F4373', 'data': 'Location kon si rhe gi sir g', 'message_order': 3, 'comments': ['']}",notInterested,1
"{'id': 'UONOCC', 'data': 'No', 'message_order': 4, 'comments': ['']}",whoAreYou,4
"{'id': 'SZ4KBY', 'data': 'Where office', 'message_order': 1, 'comments': ['']}",whoAreYou,1
"{'id': '5WBTTJ', 'data': 'Helo', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'ORC294', 'data': 'Good morning', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'URA4PO', 'data': 'Hi sir', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': '78HXUO', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",greeting,2
"{'id': 'OO1WHQ', 'data': 'Ok', 'message_order': 2, 'comments': ['']}",whoAreYou,2
"{'id': 'S0YZGI', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",greeting,2
"{'id': '62F501', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",notInterested,2
"{'id': '1A3DOF', 'data': 'Hiiii', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'WEGQMG', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'ZBY4F2', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",greeting,3
"{'id': '5W13ZG', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'FX5SAO', 'data': 'Hii', 'message_order': 5, 'comments': ['']}",dontMeetRequirements,3
"{'id': '9BMDK8', 'data': 'I have my learning license... Is it OK for job', 'message_order': 4, 'comments': ['']}",greeting,6
"{'id': '3E2E13', 'data': 'Bt bike nhi aata', 'message_order': 1, 'comments': ['']}",whoAreYou,4
"{'id': 'JZUIOW', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",location,2
"{'id': 'ZM5418', 'data': ""But I don't have two wheeler"", 'message_order': 1, 'comments': ['']}",greeting,4
"{'id': 'JWOJ5F', 'data': 'Yas', 'message_order': 5, 'comments': ['']}",location,6
"{'id': 'KEXKO5', 'data': 'Gm', 'message_order': 3, 'comments': ['']}",notInterested,3
"{'id': 'P8AFFS', 'data': 'Hai', 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': '9QA8Z7', 'data': 'Dear Sir or Mam', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': '1M84I1', 'data': 'Llr', 'message_order': 0, 'comments': ['']}",dontMeetRequirements,6
"{'id': 'NWF6AU', 'data': 'Hey mam', 'message_order': 0, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'QZX0ZY', 'data': 'Hi', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': 'O98DOY', 'data': ""Sorry I didn't have original licence"", 'message_order': 2, 'comments': ['']}",whoAreYou,4
"{'id': 'V36PYJ', 'data': 'K', 'message_order': 1, 'comments': ['']}",notInterested,2
"{'id': '9O8Z5D', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",greeting,2
"{'id': 'ZVGHS2', 'data': 'I had already joined and left the job', 'message_order': 2, 'comments': ['']}",whoAreYou,5
"{'id': 'VOAKOK', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",notInterested,3
"{'id': 'DGM3W7', 'data': 'Oky', 'message_order': 3, 'comments': ['']}",greeting,2
"{'id': 'X978V6', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",location,2
"{'id': 'PEAIDO', 'data': 'Telugu Ni aati', 'message_order': 2, 'comments': ['']}",whoAreYou,3
"{'id': 'NB32KE', 'data': 'Get lost', 'message_order': 3, 'comments': ['']}",notInterested,5
"{'id': '2EFXFI', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': 'DD7QWE', 'data': 'hi', 'message_order': 3, 'comments': ['']}",notInterested,3
"{'id': 'V5CE5J', 'data': 'Near banashankari', 'message_order': 4, 'comments': ['']}",whoAreYou,1
"{'id': '3IES44', 'data': 'I dnt have bike.\n Will u provide??', 'message_order': 0, 'comments': ['']}",notInterested,4
"{'id': '38655E', 'data': 'Hiiii', 'message_order': 0, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'F04F1O', 'data': 'Hi', 'message_order': 4, 'comments': ['']}",notInterested,3
"{'id': 'I42747', 'data': 'Hi sir', 'message_order': 5, 'comments': ['']}",whoAreYou,3
"{'id': 'I3QDTA', 'data': 'Tq', 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': 'TDVKUY', 'data': 'Ohhh k😁😆😂🤣', 'message_order': 1, 'comments': ['']}",notInterested,3
"{'id': '0MALHX', 'data': 'ok', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'FQFRWU', 'data': 'Hello', 'message_order': 5, 'comments': ['']}",greeting,3
"{'id': 'J39OQ6', 'data': 'Job location', 'message_order': 0, 'comments': ['']}",whoAreYou,1
"{'id': '4UZKPJ', 'data': 'Kahapar hai job', 'message_order': 0, 'comments': ['']}",location,1
"{'id': 'FZZMAZ', 'data': 'No we', 'message_order': 5, 'comments': ['']}",greeting,4
"{'id': 'C8TYHC', 'data': 'Hello', 'message_order': 5, 'comments': ['']}",notInterested,3
"{'id': 'PPSYG2', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting,3
"{'id': '0UD8C3', 'data': 'Good morning', 'message_order': 1, 'comments': ['']}",notInterested,3
"{'id': 'U2RCTA', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting,2
"{'id': '806PEJ', 'data': 'Hlw', 'message_order': 1, 'comments': ['']}",notInterested,3
"{'id': '2EABDW', 'data': ""But i don't have a bike so have can i do this type of jobs"", 'message_order': 5, 'comments': ['']}",notInterested,4
"{'id': 'JXEJTR', 'data': 'Hai good morning', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': '5V63MW', 'data': 'LLR license', 'message_order': 3, 'comments': ['']}",whoAreYou,6
"{'id': 'K1NVFN', 'data': 'K k', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,2
"{'id': 'BIJ3QZ', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",greeting,3
"{'id': 'HVUA2U', 'data': 'Hai', 'message_order': 0, 'comments': ['']}",whoAreYou,3
"{'id': 'H8550Q', 'data': 'Ekada job', 'message_order': 5, 'comments': ['']}",whoAreYou,1
"{'id': 'I5IU8C', 'data': 'Driving license nai hai but gaadi hai', 'message_order': 5, 'comments': ['']}",greeting,4
"{'id': 'LM5JV1', 'data': '📷 Gdmng', 'message_order': 1, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'LB6GR9', 'data': 'Sry I dnt have a bike to do this job.. Thank you', 'message_order': 1, 'comments': ['']}",greeting,4
"{'id': '5JZFLX', 'data': 'Kkk', 'message_order': 2, 'comments': ['']}",whoAreYou,2
"{'id': 'WQGK5I', 'data': 'sir bike nahi hai', 'message_order': 3, 'comments': ['']}",notInterested,4
"{'id': '0HUJ05', 'data': 'Thank you', 'message_order': 5, 'comments': ['']}",greeting,3
"{'id': 'F5RHW6', 'data': 'What location', 'message_order': 3, 'comments': ['']}",notInterested,1
"{'id': '8SD3A9', 'data': 'I have a leaning license', 'message_order': 5, 'comments': ['']}",whoAreYou,6
"{'id': 'CEI40A', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting,2
"{'id': '0BC07U', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",greeting,2
"{'id': 'AV7R7W', 'data': 'Bhai', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'FL10RD', 'data': 'Okau', 'message_order': 5, 'comments': ['']}",greeting,2
"{'id': 'GJYSVJ', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",greeting,2
"{'id': 'G9PWMH', 'data': 'Helloooo', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'TDLURE', 'data': 'Good night', 'message_order': 0, 'comments': ['']}",notInterested,3
"{'id': 'JCUEX6', 'data': 'Thanks', 'message_order': 4, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'SMKE5U', 'data': 'I want to my nearest Jalahalli Cross address', 'message_order': 4, 'comments': ['']}",whoAreYou,1
"{'id': 'Q2FG14', 'data': 'Good night', 'message_order': 3, 'comments': ['']}",notInterested,3
"{'id': 'MV7OI3', 'data': 'Hi unnati thx for contacting me ..', 'message_order': 0, 'comments': ['']}",notInterested,3
"{'id': 'ZIPT00', 'data': 'ok', 'message_order': 4, 'comments': ['']}",greeting,2
"{'id': '46N06K', 'data': 'Ok ok', 'message_order': 3, 'comments': ['']}",greeting,2
"{'id': 'XCRIJW', 'data': 'Where s the office', 'message_order': 3, 'comments': ['']}",location,1
"{'id': 'L014TW', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",greeting,2
"{'id': '5I79AF', 'data': 'I applied for license but not yet received', 'message_order': 1, 'comments': ['']}",greeting,4
"{'id': 'ZA2AR7', 'data': 'K', 'message_order': 4, 'comments': ['']}",notInterested,2
"{'id': 'CIBIVS', 'data': 'how r u', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': 'IH326X', 'data': 'बाइक नहीं है', 'message_order': 0, 'comments': ['']}",notInterested,3
"{'id': '6B0G3F', 'data': '😅ok', 'message_order': 4, 'comments': ['']}",notInterested,2
"{'id': 'Z6HKYO', 'data': 'Kk', 'message_order': 2, 'comments': ['']}",dontMeetRequirements,2
"{'id': 'KOQJ9L', 'data': 'you dont have swiggy offic in thane', 'message_order': 5, 'comments': ['']}",whoAreYou,5
"{'id': 'WYZL8Y', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou,2
"{'id': '258WM9', 'data': 'Kahase vai', 'message_order': 2, 'comments': ['']}",greeting,1
"{'id': 'EVEZJ0', 'data': 'Where I have to come for interview', 'message_order': 4, 'comments': ['']}",notInterested,1
"{'id': 'RINU9R', 'data': 'Hii', 'message_order': 3, 'comments': ['']}",whoAreYou,3
"{'id': 'NAR2RT', 'data': 'Hlo vahna', 'message_order': 3, 'comments': ['']}",notInterested,3
"{'id': '9X46W3', 'data': 'bike ledhu', 'message_order': 3, 'comments': ['']}",greeting,4
"{'id': '3Q3WEG', 'data': 'K', 'message_order': 5, 'comments': ['']}",whoAreYou,2
"{'id': 'MY1JHR', 'data': 'Suno bhai Meri age nahi hai 17th hya', 'message_order': 1, 'comments': ['']}",greeting,4
"{'id': 'DSF5CU', 'data': 'Okay', 'message_order': 3, 'comments': ['']}",dontMeetRequirements,2
"{'id': '00W0VD', 'data': 'In which location', 'message_order': 5, 'comments': ['']}",notInterested,1
"{'id': 'XVT3O3', 'data': 'Hello', 'message_order': 4, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'AXXXEK', 'data': 'I have need job,but I am not apply fees', 'message_order': 4, 'comments': ['']}",notInterested,3
"{'id': 'HRAJS5', 'data': 'No licence', 'message_order': 1, 'comments': ['']}",notInterested,4
"{'id': '43V1WZ', 'data': 'Bhi na bike hai na licence hai', 'message_order': 4, 'comments': ['']}",greeting,4
"{'id': '147F8C', 'data': 'I not interests', 'message_order': 2, 'comments': ['']}",whoAreYou,5
"{'id': '68ORM2', 'data': 'Sir..which area?', 'message_order': 4, 'comments': ['']}",notInterested,1
"{'id': '1DRD1G', 'data': 'No bike', 'message_order': 2, 'comments': ['']}",greeting,4
"{'id': 'XBTTJO', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",greeting,2
"{'id': 'NQ9NJZ', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",whoAreYou,3
"{'id': 'Y3WMBB', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou,2
"{'id': 'QYR8I7', 'data': 'Why I should deposit???', 'message_order': 0, 'comments': ['']}",location,4
"{'id': 'W06SBO', 'data': ""But doesn't have driving license"", 'message_order': 5, 'comments': ['']}",greeting,4
"{'id': 'T9RLD4', 'data': 'Hii', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'JB39Z4', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",greeting,2
"{'id': 'JZXY6K', 'data': 'Hello brother', 'message_order': 1, 'comments': ['']}",whoAreYou,3
"{'id': 'PE42AW', 'data': 'hiii', 'message_order': 1, 'comments': ['']}",location,3
"{'id': 'URQ329', 'data': 'K........tq so much sar or mam by', 'message_order': 2, 'comments': ['']}",location,3
"{'id': 'R6OMM4', 'data': 'Okn', 'message_order': 0, 'comments': ['']}",greeting,2
"{'id': 'EAIXAI', 'data': 'Hai', 'message_order': 4, 'comments': ['']}",whoAreYou,3
"{'id': 'GIJRWR', 'data': 'Hii sit', 'message_order': 5, 'comments': ['']}",greeting,3
"{'id': '8BTVQU', 'data': 'Hi', 'message_order': 1, 'comments': ['']}",dontMeetRequirements,3
"{'id': 'YJ5CM7', 'data': 'I dnt have bike but this job intrested', 'message_order': 2, 'comments': ['']}",whoAreYou,4
